year,department,y_HH
1997,1,104.24261
1997,2,132.57085
1997,3,119.45688
1997,4,207.46024
1997,5,75.466904
1997,6,86.683914
1997,7,318.29193
1997,8,136.27065
1997,9,49.846684
1997,10,96.591965
1997,11,186.48207
1997,12,182.05893
1997,13,155.91644
1997,14,170.20633
1997,15,413.74661
1997,16,146.23399
1997,17,222.59448
1997,18,290.95523
1997,19,117.10062
1997,20,135.08113
1997,21,104.65951
1997,22,137.58124
1997,23,293.03183
1997,24,217.46109
1997,25,231.19841
1998,1,137.66931
1998,2,190.0432
1998,3,92.421768
1998,4,219.31143
1998,5,88.032074
1998,6,119.20282
1998,7,304.5834
1998,8,128.65567
1998,9,74.241959
1998,10,99.177727
1998,11,176.69182
1998,12,185.68486
1998,13,179.93381
1998,14,167.04564
1998,15,453.24829
1998,16,174.46213
1998,17,221.65266
1998,18,203.5049
1998,19,140.06029
1998,20,115.82482
1998,21,119.55775
1998,22,151.58047
1998,23,308.21692
1998,24,178.66025
1998,25,171.50545
1999,1,91.414307
1999,2,124.50684
1999,3,63.476692
1999,4,160.95354
1999,5,65.97226
1999,6,129.89854
1999,7,331.09048
1999,8,153.19859
1999,9,63.446438
1999,10,124.52435
1999,11,192.11665
1999,12,187.38623
1999,13,174.1682
1999,14,162.77551
1999,15,455.48895
1999,16,131.47934
1999,17,142.83737
1999,18,329.63403
1999,19,188.68311
1999,20,116.11131
1999,21,98.831192
1999,22,128.29445
1999,23,278.57535
1999,24,283.83963
1999,25,166.48274
2000,1,110.24977
2000,2,162.53789
2000,3,126.28407
2000,4,210.8418
2000,5,141.468
2000,6,122.84531
2000,7,299.13016
2000,8,186.81737
2000,9,107.04552
2000,10,118.04029
2000,11,199.88889
2000,12,152.94383
2000,13,226.2787
2000,14,220.198
2000,15,344.97757
2000,16,197.28537
2000,17,235.72453
2000,18,318.534
2000,19,168.07587
2000,20,114.426
2000,21,134.85994
2000,22,165.82796
2000,23,326.71411
2000,24,213.7401
2000,25,216.92502
2001,1,164.52216
2001,2,136.27672
2001,3,101.2254
2001,4,285.35495
2001,5,92.894226
2001,6,112.0312
2001,7,342.09634
2001,8,148.54849
2001,9,148.60074
2001,10,101.43568
2001,11,205.7569
2001,12,181.4015
2001,13,155.54146
2001,14,240.06383
2001,15,393.39398
2001,16,212.69392
2001,17,315.18945
2001,18,291.12378
2001,19,163.97353
2001,20,167.48019
2001,21,142.03839
2001,22,171.70833
2001,23,288.35742
2001,24,229.87224
2001,25,194.37952
2002,1,103.50116
2002,2,176.63936
2002,3,93.615921
2002,4,263.38116
2002,5,108.18292
2002,6,145.1781
2002,7,299.81799
2002,8,141.40225
2002,9,93.402267
2002,10,84.507851
2002,11,313.56271
2002,12,237.75311
2002,13,190.32942
2002,14,246.13637
2002,15,516.02429
2002,16,193.83443
2002,17,292.8645
2002,18,294.05008
2002,19,149.51132
2002,20,158.81032
2002,21,129.78363
2002,22,136.22934
2002,23,334.36304
2002,24,222.26208
2002,25,185.53902
2003,1,159.50008
2003,2,132.78117
2003,3,93.096985
2003,4,280.26465
2003,5,94.323563
2003,6,127.61073
2003,7,301.07233
2003,8,132.84506
2003,9,105.99986
2003,10,92.668968
2003,11,278.92786
2003,12,219.75121
2003,13,186.73172
2003,14,225.27609
2003,15,553.90741
2003,16,173.55859
2003,17,280.62927
2003,18,278.56354
2003,19,138.14255
2003,20,137.58882
2003,21,123.76949
2003,22,128.18018
2003,23,307.97333
2003,24,238.43724
2003,25,178.78383
2004,1,149.92445
2004,2,183.81267
2004,3,97.191742
2004,4,259.83862
2004,5,124.02716
2004,6,134.77846
2004,7,366.78967
2004,8,134.83458
2004,9,101.12486
2004,10,98.045601
2004,11,382.67218
2004,12,222.48543
2004,13,226.05571
2004,14,221.09702
2004,15,416.61209
2004,16,168.12813
2004,17,344.38425
2004,18,339.89136
2004,19,173.37723
2004,20,163.61752
2004,21,139.41942
2004,22,154.43002
2004,23,366.97946
2004,24,303.4357
2004,25,203.48332
2005,1,129.53622
2005,2,202.78284
